证券代码,证券名称,省份,行业类别,2018净利润（万元）
430003.OC,北京时代,北京,资本品,"-1,680.63"
430004.OC,绿创设备,北京,商业和专业服务,-49.7708
430005.OC,原子高科,北京,医疗保健设备与服务,"25,364.93"
430009.OC,华环电子,北京,技术硬件与设备,407.3485
430010.OC,ST现代,北京,资本品,-505.7732
430014.OC,恒业世纪,北京,技术硬件与设备,"2,194.23"
430015.OC,ST盖特佳,北京,软件与服务,-137.7241
430016.OC,ST胜龙,北京,软件与服务,-156.1034
430017.OC,星昊医药,北京,制药、生物科技和生命科学,"5,098.87"
430019.OC,新松佳和,北京,技术硬件与设备,"1,344.85"
430020.OC,建工华创,北京,原材料,-854.562
430021.OC,海鑫科金,北京,技术硬件与设备,"-28,702.93"
430022.OC,五岳鑫,北京,技术硬件与设备,595.2941
430025.OC,石晶光电,北京,技术硬件与设备,349.4487
430027.OC,北科光大,北京,软件与服务,"-1,286.18"
430028.OC,京鹏科技,北京,商业和专业服务,-294.2722
430029.OC,金泰得,北京,食品、饮料与烟草,-396.6783
430031.OC,林克曼,北京,资本品,466.1159
430032.OC,凯英信业,北京,软件与服务,"-6,485.47"
430033.OC,彩讯科技,北京,技术硬件与设备,"-2,689.48"
430034.OC,大地股份,北京,食品、饮料与烟草,"5,838.80"
430037.OC,联飞翔,北京,原材料,"2,272.47"
430038.OC,信维科技,北京,技术硬件与设备,-279.8029
430041.OC,中机非晶,北京,资本品,-920.2543
430042.OC,科瑞讯,北京,软件与服务,425.6451
430044.OC,东宝亿通,北京,技术硬件与设备,-108.4014
430046.OC,圣博润,北京,软件与服务,"3,397.14"
430047.OC,诺思兰德,北京,制药、生物科技和生命科学,"-2,859.71"
430048.OC,建设数字,北京,软件与服务,"1,414.78"
430051.OC,九恒星,北京,软件与服务,"-12,281.55"
430052.OC,斯福泰克,北京,媒体与娱乐,805.053
430053.OC,国学时代,北京,软件与服务,107.2794
430054.OC,超毅网络,西藏,原材料,"2,110.73"
430055.OC,中电达通,北京,软件与服务,"-2,167.74"
430056.OC,中航新材,北京,原材料,"1,011.79"
430057.OC,清畅电力,北京,资本品,"1,295.89"
430058.OC,意诚信通,北京,技术硬件与设备,679.6998
430060.OC,永邦科技,北京,资本品,"-1,928.53"
430061.OC,富机达能,北京,资本品,218.4737
430062.OC,中科国信,北京,资本品,"-2,127.88"
430064.OC,金山顶尖,北京,软件与服务,39.8012
430065.OC,ST中海,北京,资本品,"-90,856.04"
430066.OC,南北天地,北京,软件与服务,"1,777.12"
430067.OC,维信通,北京,软件与服务,-211.1584
430068.OC,纬纶环保,北京,商业和专业服务,106.5705
430070.OC,太一云,北京,软件与服务,"-3,349.08"
430071.OC,首都在线,北京,软件与服务,"5,772.99"
430072.OC,亿创科技,北京,软件与服务,-755.4765
430073.OC,兆信股份,北京,软件与服务,"1,280.64"
430074.OC,德鑫物联,北京,技术硬件与设备,"6,035.29"
430075.OC,中讯四方,北京,技术硬件与设备,"1,162.17"
430076.OC,国基科技,北京,软件与服务,285.286
430077.OC,道隆软件,北京,软件与服务,"-1,868.72"
430078.OC,君德同创,北京,食品、饮料与烟草,414.6391
430079.OC,北京安鹏,北京,零售业,"-3,909.14"
430080.OC,尚水股份,北京,软件与服务,477.6024
430081.OC,五八汽车,北京,媒体与娱乐,932.6892
430082.OC,博雅科技,北京,软件与服务,281.2311
430083.OC,ST中科,北京,技术硬件与设备,-404.0458
430084.OC,星和众工,北京,资本品,358.3847
430085.OC,新锐英诚,北京,软件与服务,"-3,472.36"
430086.OC,爱迪科森,北京,软件与服务,92.2859
430088.OC,七维航测,北京,技术硬件与设备,——
430089.OC,天一众合,北京,技术硬件与设备,-936.7757
430090.OC,同辉信息,北京,软件与服务,983.8001
430091.OC,智感科技,北京,资本品,"-1,556.80"
430093.OC,掌上通,北京,电信业务,-489.0478
430094.OC,确安科技,北京,半导体产品与设备,477.7878
430096.OC,航天宏达,北京,技术硬件与设备,-89.3538
430097.OC,赛德丽,北京,资本品,975.8068
430098.OC,大津股份,北京,原材料,681.1042
430099.OC,理想固网,北京,技术硬件与设备,-539.8287
430100.OC,九尊能源,北京,能源,"-2,826.34"
430102.OC,科若思,北京,能源,-593.4452
