2018年净利润均值表,半导体产品与设备,,保险,,电信业务,,房地产,,公用事业,,技术硬件与设备,,家庭与个人用品,,零售业,,媒体与娱乐,,耐用消费品与服装,,能源,,汽车与汽车零部件,,软件与服务,,商业和专业服务,,食品、饮料与烟草,,食品与主要用品零售,,消费者服务,,医疗保健设备与服务,,银行,,原材料,,运输,,制药、生物科技和生命科学,,资本品,,综合金融,,平均值项:2018年净利润（万元）汇总,计数项:证券代码汇总
安徽,-127.321038,1,349.145514,1,,,92.343499,1,3774.183384,5,1339.414735,23,60.935938,1,1482.418285,4,-4695.763841,4,797.2361289,10,,,921.4976862,20,1142.685259,22,1169.036087,23,428.7002816,22,343.7348175,2,245.1902889,7,996.1294865,11,1082.001596,1,912.7482212,62,1984.944309,2,1705.87968,16,620.33138,72,2977.637477,5,912.3298211,315
北京,377.3697137,6,63.46058233,3,258.2728816,8,2178.916726,7,230.1786275,9,477.0701865,92,218.538754,1,215.0978368,27,628.3004642,132,1232.630076,17,-293.7441174,14,-2596.271221,2,116.8987688,456,486.5600569,161,1020.252649,11,1436.530058,3,-56.80977667,55,982.6187478,34,,,2161.231698,28,758.5050963,11,40.67823245,20,-649.8469577,113,28244.32629,14,605.8546293,1224
福建,-922.3307723,3,,,10.331128,1,16.1026435,2,5813.836105,2,655.6108415,26,392.7142048,4,296.5912297,10,906.7577153,20,644.9317246,23,1060.891652,2,538.8475878,5,921.8543589,72,972.8070808,18,970.6222867,18,4012.351751,4,178.6386053,3,1128.613931,3,64788.9511,1,1049.571369,31,2396.913422,6,1421.994728,6,635.284674,53,-10031.37102,4,958.4054645,317
甘肃,,,,,,,,,,,-573.04913,1,,,,,189.625433,1,#DIV/0!,1,,,,,-302.180979,1,17492.35284,1,1332.596973,12,,,,,2440.617605,2,,,-18184.27974,8,,,,,-293.1751984,5,1945.087269,1,-3353.621238,33
广东,447.2575384,17,447.3712252,6,641.794079,1,1452.703226,16,1609.593939,4,700.7041708,214,861.5803308,11,112.4109121,31,-3140.504209,54,443.1772905,100,3778.14282,3,-302.7075251,17,419.8496931,231,781.1299633,141,1547.421546,40,148.7998583,7,4983.373199,22,737.3958524,37,3453.822688,1,477.7117251,133,400.9887525,21,1160.588642,22,549.4333052,210,-10402.58062,13,425.2385064,1352
广西,,,,,,,,,395.782688,1,1168.717418,2,,,83.87108767,3,5109.0811,2,202.8285773,3,,,2105.167825,2,-42.15717525,8,-1062.481379,15,701.5031906,9,-144.5304055,2,-2181.718017,1,-23.742538,1,,,-25.9049695,10,4344.960365,1,255.565289,1,-57.63576917,6,,,142.7164922,67
贵州,,,,,,,300.264299,1,1788.311507,2,,,,,458.45235,2,266.33072,1,1215.82361,3,,,,,-433.8429806,9,559.598876,7,-182.3246538,5,,,104.479143,2,-1482.987663,1,5785.712479,1,-1937.97677,7,,,1813.8538,2,146.9199396,8,,,69.75467504,51
海南,,,,,,,843.030129,1,3472.620123,1,,,2511.797152,1,,,-536.7860973,3,,,,,,,6396.281581,4,2487.842274,2,809.4723105,4,712.151385,1,-1402.444357,1,986.8421035,2,7783.063124,2,417.879031,2,-142.809387,1,2950.619746,3,729.322408,2,658.953136,1,2178.313309,31
河北,276.0667675,2,1644.785549,1,699.385536,2,173.3645955,2,2058.175088,2,410.6721148,11,3231.969613,1,-4551.514027,1,1035.179314,6,-222.2978544,8,1268.305794,4,3712.269238,5,974.2286148,29,1141.517523,24,-747.2780562,13,,,124.8055873,3,915.891325,5,21036.45099,1,1504.074637,39,3084.603803,5,2411.546925,4,813.3485227,55,,,1073.947367,223
河南,328.4884695,2,,,,,708.7983597,3,-2785.916435,4,1258.816527,18,,,-354.7079785,2,24.05712544,9,711.871321,8,6326.899018,5,-324.7903153,7,622.9949687,41,1270.879842,22,-630.0323346,24,457.598131,2,350.5747653,6,904.1994418,4,,,980.6195939,55,3532.898257,1,223.912438,11,711.3582665,92,1951.456228,1,696.0312189,317
黑龙江,,,,,,,1330.231699,1,,,131.761099,1,,,1472.711474,2,-1691.840332,3,-98.343328,2,,,1621.209039,1,860.3966766,12,308.7549014,8,3137.501671,15,,,,,940.5514273,3,1702.721553,1,507.9776678,8,2092.436973,1,1817.510133,3,95.62267893,16,3107.709837,1,1017.785924,78
湖北,-158.796037,1,,,,,1035.144555,2,-645.0236798,5,31.27754885,21,,,553.0666757,10,1787.646349,8,99.547476,2,34.4459705,2,2590.539245,7,-724.9623498,48,366.5944775,30,310.1049609,16,275.811433,3,860.8918538,12,604.0718461,9,,,1431.027903,45,865.0482497,3,489.88312,20,461.3115856,73,8942.166124,1,487.8490699,318
湖南,,,,,,,156.724043,1,,,5119.815707,11,,,2856.464899,3,-270.2822954,8,537.7081855,4,7474.33074,3,-62.642876,4,209.8314792,20,2232.811264,25,2151.734325,10,1129.263077,2,254.3436848,8,949.8033917,3,409.820807,1,1107.765261,25,686.4018794,5,628.4919227,12,547.2957807,42,,,1276.33881,187
